@relation jAudio
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE Class {bed , dining , kitchen , meeting , office , washroom}
@DATA
-5.309554720087112,12.407540325527911,3.9968174839519772,3.9489160969487282,3.1196397557327784,2.000081673220248,-0.34536345572304267,0.5222264327695005,-0.11481201686271468,-1.2124457595630347,0.5299164312858884,-0.44598486225543926,bed
-5.909359572237481,12.890147067953956,4.218391477867276,4.070920918806447,3.6319712364233276,1.940711547440691,-0.6326782262811091,0.5289267427232013,0.2455185576387136,-1.3498603551203625,0.41605452192478076,-0.7324393772091454,bed
-5.007767031441381,11.418524603287716,4.302767872333853,3.5597260348305273,3.037675572614123,1.746261085142968,-0.3875845915941559,0.41274590268083194,0.2133466169546365,-1.2831268313106514,0.5539591317373685,-0.5876259681719109,bed
-6.104178390599689,13.077980347317636,4.0654484327328655,4.213323927888289,3.8255960141905763,1.918300761620043,-0.46673309856947925,0.5975882344939379,0.2648492326800492,-1.4866101409093129,0.4584904660877212,-0.7885786850162647,bed
-5.883252517930894,12.451214920044169,4.167351898375004,3.9710169725191284,3.3651127881069915,1.9702221727138052,-0.43566571874711174,0.47791936384849976,0.18858027354218032,-1.3805053543895076,0.30856991459610245,-0.7944553428866167,bed
-5.99229324113668,12.379471178137672,4.207590140893169,4.1765249252762615,3.575821892746976,2.0010793669010587,-0.37843646365863304,0.5316114613161255,0.19521454584351505,-1.3198909091486868,0.4604012256465566,-0.7529338222953226,bed
-5.784718537655913,12.676615119881149,4.07278648477356,3.7373360113875043,3.3146390217119595,1.9449578083396593,-0.3727341677223015,0.6851749386334027,0.4803124258578771,-1.2131988629604324,0.38896091660130466,-0.7296486459832352,bed
-5.75900165781416,13.078845097520922,4.134330459338352,3.9976718796241784,3.4482581499669664,1.756433246362656,-0.4550488451255216,0.7814237390297828,0.47456308191106594,-1.3446289477157685,0.3100184348932958,-0.8796757940745161,bed
-5.693834152912607,12.831931242463167,4.143439093953393,3.843316521875538,3.3612916955454724,1.8161608059649956,-0.5580187542776222,0.5487139695051741,0.29213098986630187,-1.3215149202639052,0.4321948329149501,-0.6643685938888675,bed
-5.7482674645453,12.862917164996599,4.0247444650853765,3.7046803241364934,3.303113092509303,1.792604591035811,-0.38578233684811164,0.8228332653288482,0.4755867364357079,-1.229830374091128,0.4301119509525588,-0.646363999937531,bed
-5.187941561053812,11.248382497830391,3.479737717043968,3.8840508584288953,3.386604932804761,1.9162355955630828,-0.18834816493794776,0.6454929485037729,0.24207595325010967,-1.0933778099688343,0.6455163744124549,-0.5341983625887042,bed
-5.538813837360855,12.111507943114006,4.504251989303719,3.707236757844355,3.212322574001875,2.0328978277428633,-0.450165107256288,0.5721043027316667,0.5178481506088992,-1.125739400887106,0.6414091511210654,-0.5792241942240968,bed
-3.3194463472869367,8.74019051394573,2.572002810765929,2.9572436989131177,2.008733116831732,1.8002763246270317,-0.1378045091694962,0.6238381687349581,0.3138059776863501,-1.0073340418466734,0.5360198431250898,-0.5682928568563549,bed
-5.736142654107111,12.766413529338427,4.002209717200616,3.988812164478484,3.3312385431185634,1.645689435293436,-0.5582575548256726,0.6876577192880985,0.3737100676048467,-1.3371184973788195,0.49176132652171994,-0.5712001242748501,bed
-5.5811743204231155,12.981492088304124,4.296105148314128,4.151603136296237,3.6461313825845423,1.9839149681048562,-0.4815133340448755,0.6609055859748776,0.25973465182321126,-1.4771045007298773,0.20514673287549415,-0.73957153797284,bed
-5.593677703161742,12.66907093078698,4.082659383052872,3.9382785954503405,3.388027677442585,1.755311891636917,-0.6929718067623222,0.476645564393055,0.24966920273230128,-1.2956623062851274,0.5006140903088594,-0.7144898112140602,bed
-5.810376063506879,12.438765231332212,4.26604247974602,3.803916444772071,3.2327312173257043,1.8990473723130539,-0.4936330445948298,0.5179338980993807,0.35560271299741136,-1.2903815308897897,0.4327368915181592,-0.712346183233641,bed
-5.6271695839688824,13.294228041204269,3.98013524276679,3.7459857960562157,3.4475886755764273,1.7867338860203346,-0.4506138495998125,0.5072786414420408,0.320262621988152,-1.3982304543893032,0.536979163620972,-0.7299127867581452,bed
-5.549991457424781,13.12550097058936,4.333172398680044,3.9928294563292255,3.532679248538293,1.9417577428408022,-0.48262870546859266,0.5667997134527644,0.19981344128262238,-1.3608421551454046,0.4128393347547345,-0.7084391290285628,bed
-5.6055954141509945,12.942299525652187,4.136984145146261,3.9812176975885363,3.614590832071933,1.8676915007151549,-0.4570592878437177,0.622405747291306,0.2660710595209875,-1.2994528345261136,0.4756101144503282,-0.6882224825768971,bed
-5.703805647184453,12.658851387309598,3.828006755041866,3.696026482703482,3.4584878271061466,1.8713087025701933,-0.5394271761045523,0.5257218248198423,0.3248764970566872,-1.2460689215519383,0.5658342797294357,-0.6411460371368404,bed
-5.573870750086732,12.590625003952534,4.050169623346725,3.8949651908518894,3.474156646959506,2.001105658082762,-0.4480600093860766,0.460806783226183,0.3706908506793184,-1.2565993539538545,0.3737496471616626,-0.771689329217286,bed
-5.440388648861281,12.649530277593588,3.8876704320674693,3.759125592871958,3.442842091799186,1.8363670883762249,-0.6395000742236879,0.5157160757960323,0.36970279295311015,-1.273908714501994,0.4641751559301248,-0.8193493201297306,bed
-3.6821960238341886,9.258170302486494,2.562894171427526,3.1699810243812245,2.2605846209318967,2.0645708327840273,0.18113505289781248,0.6750627184108188,0.2765417249849483,-1.1402118252534048,0.5535920636671904,-0.5062010739265074,bed
-6.042309801150782,12.943620869421224,4.065069266036972,3.9151644834336485,3.5221871088953516,1.7425646040143257,-0.51655945898754,0.5543990052709787,0.42235184061066006,-1.42980905355685,0.4400847277750589,-0.8048553812488053,bed
-5.779016835203004,12.822569433650754,4.207717840601739,4.060809146707399,3.6163566801270646,1.8675769594281195,-0.517827503195593,0.640984372448442,0.31948007767114633,-1.4399549326744034,0.33673829540799255,-0.7868231078722564,bed
-4.6125870214539635,11.978284275875412,3.7479401245781165,3.1932721337735805,2.400441008182778,1.6444049824204359,-0.31924697024005944,0.6382435848093203,0.4027479629743356,-0.9677780790048192,0.8004445611431492,-0.5790818020022652,bed
-6.207239598877253,12.031970069571543,4.323995997914377,4.094109088608145,3.5053853807798117,2.1244014563432025,-0.4108731300107146,0.4087067032440286,0.2840094814326654,-1.3101856854442813,0.47635414848927554,-0.7125092671388273,bed
-5.1580612692760415,11.552216305178254,3.9093781006755397,3.692809718610309,3.257236930150646,1.9717886188293892,-0.621588407087883,0.3503780779503911,0.46825684615213753,-1.0518814582371132,0.4969385575567155,-0.8353553823239038,bed
-5.377907876940554,12.69387023662663,3.9913661758508274,3.9761524993451713,3.5442323000696594,1.8431811689393978,-0.559467805123798,0.6087577124090109,0.3893753624466494,-1.3391864882281492,0.38328910855369464,-0.7792577363754689,bed
-4.504905857594351,12.096208507153841,3.6513585350423337,3.599184607244853,3.1069334576984984,1.8691841191792706,-0.2949700008840468,0.6362397579803066,0.3952159564368124,-1.1365370569824758,0.5903700228202177,-0.8293454516038855,bed
